,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,latitude,longitude,onmousedown,snippet,source,sponsored,state,stations,url
432,Fresno,The Wine Group,US,"Sat, 14 Jan 2017 02:29:38 GMT",False,"Fresno, CA","Fresno, CA 93706",30+ days ago,False,21239081bac22e03,Cellar Supervisor,36.677025,-119.924576,"indeed_clk(this,'5927');","BS/BA in <b>Chemical</b> <b>Engineering</b>, Food Science, Microbiology, or Business Administration or equivalent education/work experience....",The Wine Group,False,CA,,http://www.indeed.com/viewjob?jk=21239081bac22e03&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITxHMphY-a4vzK6AG1E9fT42&indpubnum=254802918413674&atk=1ba48hnsq19sr4vr
433,Fontana,Consentium Search,US,"Thu, 05 Jan 2017 09:11:36 GMT",False,"Fontana, CA","Fontana, CA",30+ days ago,True,57a05441e2708674,"Environmental, Health & Safety (EHS) Professional 921",34.09066,-117.43407,"indeed_clk(this,'5927');","Bachelor's Degree from an accredited College / University in Environmental Health &amp; Safety, <b>Chemical</b> <b>Engineering</b> or related discipline....",Consentium Search,False,CA,,http://www.indeed.com/viewjob?jk=57a05441e2708674&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITxHMphY-a4vzK6AG1E9fT42&indpubnum=254802918413674&atk=1ba48hnsq19sr4vr
434,San Ramon,Contra Costa Community College District,US,"Thu, 23 Feb 2017 10:00:47 GMT",False,"San Ramon, CA","San Ramon, CA",5 days ago,False,abb89764aed75761,Chemistry Adjunct Instructor,37.777473,-121.97802,"indeed_clk(this,'5927');","Bachelor’s degree in chemistry or biochemistry AND a master’s degree in biochemistry, <b>chemical</b> <b>engineering</b>, <b>chemical</b> physics, physics, molecular biology, or...",Contra Costa Community College District,False,CA,,http://www.indeed.com/viewjob?jk=abb89764aed75761&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITxHMphY-a4vzK6AG1E9fT42&indpubnum=254802918413674&atk=1ba48hnsq19sr4vr
435,San Diego,Becton Dickinson & Company,US,"Fri, 13 Jan 2017 14:19:41 GMT",False,"San Diego, CA","San Diego, CA",30+ days ago,False,72d8ddc6ba845a98,Senior Project Manager,32.714287,-117.15385,"indeed_clk(this,'5927');",Bachelor's degree or equivalent experience in related field required •A minimum of 4+ years related work experience required •Bachelor's degree in Mechanical...,Becton Dickinson,False,CA,,http://www.indeed.com/viewjob?jk=72d8ddc6ba845a98&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITxHMphY-a4vzK6AG1E9fT42&indpubnum=254802918413674&atk=1ba48hnsq19sr4vr
436,San Diego,Parker and Lynch,US,"Tue, 07 Feb 2017 06:01:55 GMT",False,"San Diego, CA","San Diego, CA",22 days ago,False,514bb2f9c39510e8,PATENT LITIGATION ASSOCIATE,32.714287,-117.15385,"indeed_clk(this,'5927');","Degree in any technical field (e.g., Electrical or Mechanical <b>Engineering</b>, Physics, Computer Science, a Life Science or <b>Chemical</b> <b>Engineering</b>)....",Parker and Lynch,False,CA,,http://www.indeed.com/viewjob?jk=514bb2f9c39510e8&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITxHMphY-a4vzK6AG1E9fT42&indpubnum=254802918413674&atk=1ba48hnsq19sr4vr
437,Walnut Creek,RMC WATER AND ENVIRONMENT,US,"Wed, 01 Feb 2017 08:01:57 GMT",False,"Walnut Creek, CA","Walnut Creek, CA",27 days ago,False,b7edb085ca26bec1,NPDES/WDR/Regulatory Permitting Project Manager,37.903847,-122.06044,"indeed_clk(this,'5927');","Bachelor's Degree in Environmental <b>Engineering</b>, <b>Chemical</b> <b>Engineering</b>, Environmental Science, or other related planning degree and background....",RMC WATER AND ENVIRONMENT,False,CA,,http://www.indeed.com/viewjob?jk=b7edb085ca26bec1&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITxHMphY-a4vzK6AG1E9fT42&indpubnum=254802918413674&atk=1ba48hnsq19sr4vr
438,Visalia,Sustainable Recruitment Concepts,US,"Tue, 17 Jan 2017 07:08:47 GMT",False,"Visalia, CA","Visalia, CA",30+ days ago,False,8e23921d3cceab76,R/D Engineer,36.32967,-119.29121,"indeed_clk(this,'5927');",BS (minimum) in <b>Chemical</b> Engineering; Applied <b>chemical</b> reaction kinetics. To set and pursue practical strategies in <b>chemical</b> reaction <b>engineering</b> relevant to...,Sustainable Recruitment Concepts,False,CA,,http://www.indeed.com/viewjob?jk=8e23921d3cceab76&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITxHMphY-a4vzK6AG1E9fT42&indpubnum=254802918413674&atk=1ba48hnsq19sr4vr
439,Livermore,"FormFactor/Cascade Microtech, A FormFactor Company",US,"Sat, 03 Dec 2016 07:20:39 GMT",False,"Livermore, CA","Livermore, CA 94551",30+ days ago,True,445f9d1af039a311,"Process Engineer, Electroplating",37.728024,-121.68681,"indeed_clk(this,'5927');","In Electrochemistry, <b>Chemical</b> <b>Engineering</b>, Materials Science, or related field required. Design and execute <b>engineering</b> experiments to either resolve process...","FormFactor/Cascade Microtech, A FormFactor Company",False,CA,,http://www.indeed.com/viewjob?jk=445f9d1af039a311&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITxHMphY-a4vzK6AG1E9fT42&indpubnum=254802918413674&atk=1ba48hnsq19sr4vr
440,Riverside,UTC Aerospace Systems,US,"Wed, 16 Nov 2016 23:39:00 GMT",False,"Riverside, CA","Riverside, CA",30+ days ago,False,c08bc9fd1e42f1c8,Environmental Health & Safety Generalist- Environmental Focus,33.953297,-117.39561,"indeed_clk(this,'5927');","Referred in Environmental <b>Engineering</b>, Environmental Management, Chemistry, <b>Chemical</b> <b>Engineering</b> or related science field....",UTC,False,CA,,http://www.indeed.com/viewjob?jk=c08bc9fd1e42f1c8&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITxHMphY-a4vzK6AG1E9fT42&indpubnum=254802918413674&atk=1ba48hnsq19sr4vr
441,San Diego,Retrophin,US,"Thu, 15 Dec 2016 18:14:47 GMT",False,"San Diego, CA","San Diego, CA 92130",30+ days ago,False,5379f586f4f22316,Senior Manager/Associate Director Technical Operations,32.935307,-117.2372,"indeed_clk(this,'5927');",Bachelors Degree in Process or <b>Chemical</b> <b>Engineering</b> or other relateddiscipline. Senior Manager/Associate Director Technical Operations....,Retrophin,False,CA,,http://www.indeed.com/viewjob?jk=5379f586f4f22316&qd=N2J-naHqk5bSExrJs-uSyEnnBkh_KopdbulpipxQgNsA_paI0l2fJPBfEIFg_il1-o5-ikEjULEtwYnBtBtiDuSg8NV4eh8tkYrQCw1XITxHMphY-a4vzK6AG1E9fT42&indpubnum=254802918413674&atk=1ba48hnsq19sr4vr
