,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,latitude,longitude,onmousedown,snippet,source,sponsored,state,stations,url
782,San Francisco,Accenture,US,"Wed, 07 Dec 2016 00:58:53 GMT",False,"San Francisco, CA","San Francisco, CA 94105",30+ days ago,False,a9b75fb6d6a9ef47,Oracle EBS SCM Analyst - San Francisco,37.788864,-122.39936,"indeed_clk(this,'5656');","Engineering (all disciplines), Computer Science / Computer Engineering, Information Systems / Decision Sciences, Mathematics / <b>Statistics</b> / Sciences....",Accenture,False,CA,,http://www.indeed.com/viewjob?jk=a9b75fb6d6a9ef47&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
783,Cerritos,Quality Health Strategies,US,"Thu, 16 Feb 2017 06:50:33 GMT",False,"Cerritos, CA","Cerritos, CA",12 days ago,False,6b083b58f80df113,Senior Data Analyst - Healthcare Fraud,33.857143,-118.06044,"indeed_clk(this,'5656');","Bachelor’s degree in <b>Statistics</b>, Biostatistics, Epidemiology, Public Health, or related discipline (Economics, Mathematics, Engineering, Computer Science)....",Quality Health Strategies,False,CA,,http://www.indeed.com/viewjob?jk=6b083b58f80df113&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
784,El Segundo,R&R Partners,US,"Wed, 25 Jan 2017 22:28:52 GMT",False,"El Segundo, CA","El Segundo, CA 90245",30+ days ago,False,fdcfb4f9d98fbc6b,Marketing Analyst,33.928547,-118.39783,"indeed_clk(this,'5656');",Demonstrable and well-grounded knowledge in statistical analysis equivalent to at least a college minor in <b>statistics</b> /....,R&R Partners,False,CA,,http://www.indeed.com/viewjob?jk=fdcfb4f9d98fbc6b&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
785,Irvine,City of Irvine,US,"Thu, 16 Feb 2017 23:53:00 GMT",False,"Irvine, CA","Irvine, CA",12 days ago,False,c6c2bf59871fba6d,Public Safety Assistant-Technology and Innovation,33.667583,-117.81868,"indeed_clk(this,'5656');","Compiles crime <b>statistics</b> and data to identify trends, methods of operation and suspects. The City of Irvine seeks a passionate and motivated individual for the...",City of Irvine,False,CA,,http://www.indeed.com/viewjob?jk=c6c2bf59871fba6d&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
786,San Francisco,Climate Policy Initiative,US,"Tue, 07 Feb 2017 13:15:24 GMT",False,"San Francisco, CA","San Francisco, CA 94104",21 days ago,False,22250dcbb6cda7e2,Assistant Analyst,37.79121,-122.39561,"indeed_clk(this,'5656');",The strongest candidates will demonstrate solid quantitative skills; ABOUT THE ORGANIZATION....,Climate Policy Initiative,False,CA,,http://www.indeed.com/viewjob?jk=22250dcbb6cda7e2&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
787,San Francisco,W2O Group,US,"Mon, 23 Jan 2017 22:29:13 GMT",False,"San Francisco, CA","San Francisco, CA",30+ days ago,False,55e1bf17b6fad4d1,Junior Analyst (Marketing and Social Media),37.774727,-122.41758,"indeed_clk(this,'5656');","Bachelor’s degree in English, history, communications, political science, economics, psychology, business, marketing, applied mathematics, or <b>statistics</b>....",W2O Group,False,CA,,http://www.indeed.com/viewjob?jk=55e1bf17b6fad4d1&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
788,San Francisco,Squaretrade,US,"Fri, 24 Feb 2017 01:40:44 GMT",False,"San Francisco, CA","San Francisco, CA 94107",5 days ago,False,1c41bf63dfeab791,Senior Quantitative Analyst,37.78269,-122.398346,"indeed_clk(this,'5656');","Bachelor’s Degree in Business, Economics, Mathematics, <b>Statistics</b>, or a related field; SquareTrade’s Risk Management and Business Intelligence group is looking...",SquareTrade,False,CA,,http://www.indeed.com/viewjob?jk=1c41bf63dfeab791&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
789,Los Angeles,The Salvation Army Western USA,US,"Wed, 01 Mar 2017 00:07:28 GMT",False,"Los Angeles, CA","Los Angeles, CA",6 hours ago,False,9dc359210615c04e,Administrative Assistant,34.052197,-118.24176,"indeed_clk(this,'5656');",Complete the monthly <b>statistics</b>. The purpose of this position is to assist Corps officers and to serve residents at the L.A....,The Salvation Army Western USA,False,CA,,http://www.indeed.com/viewjob?jk=9dc359210615c04e&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
790,San Jose,"Samsung Semiconductor, Inc.",US,"Wed, 28 Dec 2016 20:57:04 GMT",False,"San Jose, CA","San Jose, CA",30+ days ago,False,4c676da4be559848,Data Scientist-Text Analytics,37.337914,-121.89011,"indeed_clk(this,'5656');","In computer science, <b>statistics</b>, mathematics, engineering, physics, economics, or other quantitative disciplines. Data Scientist-Text Analytics....","Samsung Semiconductor, Inc.",False,CA,,http://www.indeed.com/viewjob?jk=4c676da4be559848&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
791,Long Beach,Molina Healthcare,US,"Sat, 17 Dec 2016 07:21:00 GMT",False,"Long Beach, CA","Long Beach, CA",30+ days ago,False,7bbf29b7b2c05412,Data Mining Specialist,33.766483,-118.18681,"indeed_clk(this,'5656');","Familiarity with basic <b>statistics</b> and stats languages (SAS, R, SPSS). Should understand basic <b>statistics</b> (such as distributions) that are necessary to...",Molina Healthcare,False,CA,,http://www.indeed.com/viewjob?jk=7bbf29b7b2c05412&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
792,Bakersfield,University of Phoenix,US,"Thu, 26 Jan 2017 23:44:43 GMT",False,"Bakersfield, CA","Bakersfield, CA 93302",30+ days ago,False,a7fb92a5055c191d,Mental Health Counseling Research Methods Part-Time Faculty,35.373627,-119.01649,"indeed_clk(this,'5656');","According to the Bureau of Labor <b>Statistics</b>, social science careers are expected to grow up to 29 percent between 2012 and 2022....",Apollo Education Group Inc,False,CA,,http://www.indeed.com/viewjob?jk=a7fb92a5055c191d&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
793,Los Angeles,MarketShare,US,"Sun, 20 Nov 2016 06:39:58 GMT",False,"Los Angeles, CA","Los Angeles, CA",30+ days ago,False,6d9f4b0344501bdc,Data Analyst,34.052197,-118.24176,"indeed_clk(this,'5656');",Gaining exposure to mind-boggling problems and challenges that come with applicable <b>statistics</b> and models that are related to your data. Data is rarely perfect....,MarketShare,False,CA,,http://www.indeed.com/viewjob?jk=6d9f4b0344501bdc&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
794,San Francisco Bay Area,"AgileSDE, LLC",US,"Tue, 14 Feb 2017 16:07:33 GMT",False,"San Francisco Bay Area, CA","San Francisco Bay Area, CA",14 days ago,True,cfe51ba81a0b6bf0,Data Science / Machine Learning Engineer,37.826923,-122.29121,"indeed_clk(this,'5656');",Strong working knowledge of <b>statistics</b>. Data Science/ ML Engineer Job Description:....,Indeed,False,CA,,http://www.indeed.com/viewjob?jk=cfe51ba81a0b6bf0&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
795,Santa Clara,Intel,US,"Wed, 07 Dec 2016 05:18:47 GMT",False,"Santa Clara, CA","Santa Clara, CA 95052",30+ days ago,False,6d8904c476f3c81b,Software Product Manager – Sports Analytics,37.354397,-121.95055,"indeed_clk(this,'5656');","Bachelor's degree in Computer Science, Engineering, Math, Economics, Data Science or <b>Statistics</b>. Intel Sports is changing the game for a new generation of...",Intel,False,CA,,http://www.indeed.com/viewjob?jk=6d8904c476f3c81b&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
796,San Diego,HDR,US,"Tue, 07 Feb 2017 19:56:07 GMT",False,"San Diego, CA","San Diego, CA",21 days ago,False,8458cf012f4d7033,Sr. Marine Scientist-Acoustician,32.714287,-117.15385,"indeed_clk(this,'5656');",Sr. Marine Scientist-Acoustician - ( 144821 ) Description HDR has partnered with clients to shape communities and push the boundaries of what's possible,HDR,False,CA,,http://www.indeed.com/viewjob?jk=8458cf012f4d7033&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
797,Cerritos,QTrade Teas & Herbs,US,"Tue, 24 Jan 2017 18:03:35 GMT",False,"Cerritos, CA","Cerritos, CA",30+ days ago,True,adac3ab780fde0c8,Procurement Analyst / Demand Planner,33.857143,-118.06044,"indeed_clk(this,'5656');","Demonstrated proficiency in <b>statistics</b>, forecasting and forecasting methods with an understanding of their financial and operational impacts....",Indeed,False,CA,,http://www.indeed.com/viewjob?jk=adac3ab780fde0c8&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
